Year,Rooms,TotalArea,LivingArea,Floor,Price
2023,2,40.0,27.0,1.0,8015408
2023,2,37.5,24.8,0.2941176470588235,7657921
2023,2,40.0,27.0,0.8235294117647058,7951971
2024,2,35.0,25.0,0.1764705882352941,5602638
2024,3,62.0,35.0,0.8235294117647058,8940577
2023,2,40.6,23.4,0.9285714285714286,9158931
2024,2,44.4,27.5,0.8823529411764706,6625293
2023,1,25.3,11.8,0.2941176470588235,4962342
2021,2,55.5,29.8,0.1764705882352941,11769928
2023,2,44.4,27.5,0.8235294117647058,6352841
2023,4,86.5,50.4,0.5882352941176471,11039213
2023,3,52.1,30.5,0.7058823529411765,11407343
2024,2,51.0,23.0,1.0,9203330
2024,2,55.5,32.7,0.25,8017365
2024,4,66.0,45.0,0.3529411764705882,14957095
2024,1,35.0,17.0,0.9411764705882352,9287330
2024,2,43.0,24.0,0.7058823529411765,6426892
2024,1,32.3,15.5,0.2941176470588235,5716519
2023,2,22.9,11.1,0.5294117647058824,6803137
2024,2,25.0,13.0,0.5294117647058824,4138883
2024,2,33.0,19.0,0.9411764705882352,7190957
2024,2,57.0,30.0,0.4705882352941176,12943973
2024,2,25.0,12.0,0.3529411764705882,7338826
2024,2,23.4,10.9,0.7647058823529411,4585498
2024,1,34.0,15.0,0.8235294117647058,8941404
2024,2,37.2,26.1,0.6470588235294118,5935567
2023,2,58.6,33.0,0.2941176470588235,9473175
2023,2,37.7,26.1,0.7058823529411765,6331776
2024,3,52.9,35.1,0.4705882352941176,7607158
2024,1,34.0,15.0,1.0,5316436
2024,3,51.0,33.0,0.8823529411764706,7244549
2023,2,32.3,20.6,0.6666666666666666,8466476
2024,2,56.0,32.0,0.8333333333333334,7826542
2024,2,39.8,27.2,0.1176470588235294,5922375
2024,3,51.0,33.0,0.5294117647058824,7534656
2024,1,42.6,16.0,0.5833333333333334,6585380
2024,2,36.7,24.0,0.5882352941176471,9373035
2023,1,26.0,12.0,0.8823529411764706,5892223
2024,2,23.0,11.0,0.7857142857142857,6171481
2024,2,53.0,32.0,0.1428571428571428,10153677
2024,3,62.0,35.0,1.0,12713401
2024,1,31.8,12.9,0.3333333333333333,4263676
2024,2,26.0,13.0,0.7647058823529411,7472613
2024,2,34.0,20.0,0.7857142857142857,7615703
2024,2,22.9,11.1,0.3529411764705882,4349832
2023,2,49.6,23.6,0.7058823529411765,9901400
2024,2,34.0,23.0,0.4285714285714285,7572993
2023,4,77.4,52.6,0.3529411764705882,13550814
2023,2,40.0,27.0,1.0,7986350
2023,1,21.9,10.5,1.0,4471234
2023,2,40.0,27.0,0.8235294117647058,7972451
2024,3,62.1,35.2,0.8823529411764706,8989794
2024,3,53.9,35.1,0.8823529411764706,7751988
2024,2,33.8,23.7,1.0,5347769
2023,1,25.1,11.8,0.4117647058823529,4941488
2023,2,36.2,23.1,0.1176470588235294,8241600
2023,3,61.3,39.5,0.8235294117647058,11272820
2023,2,35.4,21.8,0.4,9632248
2023,2,46.2,28.4,0.8235294117647058,6745932
2024,3,53.0,33.0,0.9411764705882352,9327218
2024,2,24.0,11.0,0.4117647058823529,5677300
2024,2,33.0,20.0,1.0,6495786
2023,2,47.3,29.1,0.7647058823529411,6559328
2024,2,22.0,11.0,0.3529411764705882,7504150
2024,3,77.0,41.0,0.6923076923076923,13270269
2024,3,80.0,43.0,0.5294117647058824,14479703
2024,2,36.0,22.0,0.5882352941176471,9101856
2024,2,26.0,12.0,0.3529411764705882,7389112
2024,2,27.0,13.0,0.6470588235294118,4584915
2024,2,27.0,13.0,0.1764705882352941,4668321
2024,3,53.9,35.1,0.8823529411764706,8404515
2024,2,33.8,19.8,1.0,5517961
2023,2,48.7,26.1,0.7272727272727273,15963714
2021,2,49.9,27.6,0.9411764705882352,10828623
2023,3,74.0,42.0,0.1428571428571428,13795768
2023,2,36.0,22.0,0.8823529411764706,8407803
2024,2,39.8,27.2,0.1176470588235294,5928590
2024,3,53.8,35.0,0.7058823529411765,7805144
2024,1,44.1,17.7,1.0,6734381
2023,1,34.0,16.0,0.6470588235294118,7861860
2024,2,49.1,20.7,0.1428571428571428,9312739
2024,2,34.0,23.0,1.0,7853723
2024,3,77.0,45.0,0.0833333333333333,8582949
2024,1,31.8,12.9,0.3333333333333333,4255421
2024,2,57.0,32.3,0.6666666666666666,7616561
2024,2,39.8,27.2,0.7857142857142857,8212219
2023,2,37.5,20.6,0.7058823529411765,8198271
2024,4,85.5,50.6,0.4285714285714285,13734926
2023,1,26.0,11.3,1.0,7758097
2023,2,32.8,20.1,0.2352941176470588,7612822
2023,4,72.9,51.9,0.9411764705882352,13434673
2024,2,38.0,26.0,0.8823529411764706,6052565
2023,4,74.0,54.0,0.375,14517154
2023,2,39.0,28.0,0.8125,11481125
2023,2,24.0,10.0,1.0,7029024
2023,2,33.0,19.0,0.9285714285714286,8143673
2024,2,35.3,24.5,0.8823529411764706,5688512
2024,2,22.9,11.1,1.0,5006746
2024,1,38.0,17.0,0.5333333333333333,8878097
2023,2,47.4,29.1,0.8235294117647058,7873045
2024,2,39.9,27.2,1.0,9236393
2023,2,21.3,10.4,0.5333333333333333,7103051
2023,3,52.8,35.1,0.8235294117647058,7643138
2024,3,58.0,38.0,0.5882352941176471,8579305
2024,2,56.0,28.0,0.9411764705882352,9489704
2023,2,33.8,20.3,0.2941176470588235,7919556
2024,3,58.0,38.0,0.8235294117647058,9842089
2024,2,25.5,11.2,0.7058823529411765,5662606
2024,3,58.0,38.0,0.1176470588235294,9607898
2023,2,25.0,13.0,0.7647058823529411,4227721
2024,2,34.0,20.0,0.6923076923076923,7931375
2024,1,33.4,10.4,0.7647058823529411,5927331
2023,2,27.3,12.8,0.7647058823529411,7424135
2024,2,35.6,24.3,0.5294117647058824,5807172
2024,3,77.9,41.8,0.4117647058823529,11104746
2024,2,36.0,22.0,0.9411764705882352,7244956
2024,2,59.0,30.0,0.6470588235294118,12772304
2024,2,36.0,22.0,0.3529411764705882,6887901
2024,2,40.0,23.0,0.8235294117647058,9636288
2023,2,35.3,24.5,0.7058823529411765,5843063
2023,2,37.0,28.0,0.25,11041325
2024,2,44.0,28.0,0.8823529411764706,6681821
2024,3,59.1,38.2,0.8823529411764706,8186395
2021,2,49.9,27.6,1.0,10843746
2024,1,43.9,17.6,0.9166666666666666,6698433
2024,1,43.8,17.6,0.75,6974593
2024,2,53.5,25.6,0.5882352941176471,8356836
2023,1,35.0,12.0,0.4117647058823529,6686383
2023,3,53.9,35.1,0.1176470588235294,13684842
2023,4,87.0,51.0,0.8235294117647058,17542560
2023,2,35.0,20.0,0.9285714285714286,8493977
2023,2,35.3,24.5,0.7647058823529411,5704260
2024,3,57.7,38.1,0.1428571428571428,10719482
2024,2,27.0,13.0,1.0,7380826
2024,2,56.7,32.8,0.0833333333333333,7146526
2024,1,32.0,13.0,0.3333333333333333,4254804
2024,3,80.0,43.0,1.0,14818323
2023,2,24.6,11.9,0.1176470588235294,5592491
2023,2,35.0,23.0,0.3529411764705882,7974827
2023,2,40.0,27.0,0.8235294117647058,8137020
2024,2,53.4,31.9,0.1764705882352941,7090892
2023,2,39.7,27.0,0.7058823529411765,7855604
2024,2,24.0,11.0,0.8823529411764706,4770146
2023,2,40.6,29.5,0.8125,11730490
2024,2,37.2,26.1,0.2352941176470588,5728103
2023,2,33.1,19.3,0.9285714285714286,8262487
2024,2,23.0,11.0,0.8823529411764706,4344519
2024,4,86.5,50.4,0.5882352941176471,11897847
2023,1,38.7,19.0,0.08,9235548
2023,2,33.5,19.6,0.2,9291934
2023,2,37.5,20.6,0.1176470588235294,8274727
2023,1,27.0,15.2,0.7647058823529411,6423553
2021,1,40.0,16.9,0.1764705882352941,8768239
2023,2,27.0,13.0,0.8235294117647058,4345953
2024,2,23.2,8.4,1.0,5600225
2024,2,34.0,18.0,0.7058823529411765,6223667
2023,1,24.0,9.0,0.7647058823529411,5922340
2023,2,33.3,20.1,0.2941176470588235,7907494
2024,3,57.0,38.0,0.8823529411764706,9610216
2024,3,60.0,38.0,0.8823529411764706,9974574
